"product_title","product_url","product_image","product_price","product_size","product_color","amazon_title","amazon_url","amazon_image","amazon_category","brand","amazon_size","amazon_color","asin","amazon_pack","buy_box_current_price","buy_box_90_days_avg_price"
"Cherokee Prints Warm Up Scrubs Jacket For Women Snap Front Print CK321, S, Happy Holidogs","https://www.walmart.com/ip/Cherokee-Prints-Warm-Up-Scrubs-Jacket-For-Women-Snap-Front-Print-CK321-S-Happy-Holidogs/1255828435","https://i5.walmartimages.com/asr/19147403-5af4-4805-b1ed-93c9ae655468.f479d602466e03b3d9f0c0370646520b.jpeg","22.94","S","Happy Holidogs","iflex by Cherokee Uniforms Zip Front Scrub Jackets for Women Plus Size CK303, 2XL, Black","https://www.amazon.com/dp/B01JDBH7DE","https://m.media-amazon.com/images/I/61P4-DX75LL.jpg;https://m.media-amazon.com/images/I/517Q7A4JelS.jpg;https://m.media-amazon.com/images/I/617MgkxUw7L.jpg;https://m.media-amazon.com/images/I/51Zsu1j1Y9L.jpg;https://m.media-amazon.com/images/I/61WuA3khS+L.jpg","Clothing, Shoes & Jewelry","Cherokee","Medium","Royal","B01JDBH7DE","1","43.77","37.59"
"Cherokee Prints Warm Up Scrubs Jacket For Women Snap Front Print CK321, S, Scrub Life","https://www.walmart.com/ip/Cherokee-Prints-Warm-Up-Scrubs-Jacket-For-Women-Snap-Front-Print-CK321-S-Scrub-Life/659971659","https://i5.walmartimages.com/asr/682e8d96-0ad2-4671-9fd7-170aa810232f.8976c1e56cd8dfb73bab23d87b7171f1.jpeg","22.06","S","Scrub Life","iflex by Cherokee Uniforms Zip Front Scrub Jackets for Women Plus Size CK303, 2XL, Black","https://www.amazon.com/dp/B01JDBH7DE","https://m.media-amazon.com/images/I/61P4-DX75LL.jpg;https://m.media-amazon.com/images/I/517Q7A4JelS.jpg;https://m.media-amazon.com/images/I/617MgkxUw7L.jpg;https://m.media-amazon.com/images/I/51Zsu1j1Y9L.jpg;https://m.media-amazon.com/images/I/61WuA3khS+L.jpg","Clothing, Shoes & Jewelry","Cherokee","Medium","Royal","B01JDBH7DE","1","43.77","37.59"
"Cherokee Prints Scrubs Jacket For Women Snap Front Print Warm-up CK321","https://www.walmart.com/ip/Cherokee-Prints-Scrubs-Jacket-For-Women-Snap-Front-Print-Warm-up-CK321/3494956724","https://i5.walmartimages.com/seo/Cherokee-Prints-Scrubs-Jacket-For-Women-Snap-Front-Print-Warm-up-CK321_97819474-926c-4ab7-bf23-60b5ab40bba2.e242dac14faef30b6f9bf3e43e31f5ae.jpeg","20.78","S","Loving Stars","iflex by Cherokee Uniforms Zip Front Scrub Jackets for Women Plus Size CK303, 2XL, Black","https://www.amazon.com/dp/B01JDBH7DE","https://m.media-amazon.com/images/I/61P4-DX75LL.jpg;https://m.media-amazon.com/images/I/517Q7A4JelS.jpg;https://m.media-amazon.com/images/I/617MgkxUw7L.jpg;https://m.media-amazon.com/images/I/51Zsu1j1Y9L.jpg;https://m.media-amazon.com/images/I/61WuA3khS+L.jpg","Clothing, Shoes & Jewelry","Cherokee","Medium","Royal","B01JDBH7DE","1","43.77","37.59"
"Dunkin' Midnight Dark Roast Ground Coffee, 11 Ounce Bag (Pack of 6)","https://www.walmart.com/ip/Dunkin-Midnight-Dark-Roast-Ground-Coffee-11-Ounce-Bag-Pack-of-6/901990139","https://i5.walmartimages.com/seo/Dunkin-Midnight-Dark-Roast-Ground-Coffee-11-Ounce-Bag-Pack-of-6_46254eca-99f2-48dd-8a4d-38a44bf34702.87b318727910a536e52be91935ef24ca.jpeg","42.97","","","Dunkin' Dark Roast Chocolate Covered Strawberry K Cup Coffee 22 Ct","https://www.amazon.com/dp/B0CCF979BX","https://m.media-amazon.com/images/I/4144rjQ54QL.jpg;https://m.media-amazon.com/images/I/41TXyGwTZqL.jpg","Grocery & Gourmet Food","Dunkin'","","","B0CCF979BX","1","37.5","34.72"
"(3 pack) Dunkin Midnight Dark Roast Ground Coffee, 11 oz. Bag","https://www.walmart.com/ip/Dunkin-Midnight-Dark-Roast-Ground-Coffee-11-oz-Bag/5054770750","https://i5.walmartimages.com/seo/Dunkin-Midnight-Dark-Roast-Ground-Coffee-11-oz-Bag-3-pack_54e24a6f-832b-4150-9159-662226005c31.bc6dbc8ddb73c13afb5a177061302c35.jpeg","23.88","","","Dunkin' Dark Roast Chocolate Covered Strawberry K Cup Coffee 22 Ct","https://www.amazon.com/dp/B0CCF979BX","https://m.media-amazon.com/images/I/4144rjQ54QL.jpg;https://m.media-amazon.com/images/I/41TXyGwTZqL.jpg","Grocery & Gourmet Food","Dunkin'","","","B0CCF979BX","1","37.5","34.72"
"Hanes Men's White Tank Undershirts, 3 Pack","https://www.walmart.com/ip/Hanes-Men-s-White-Tank-Undershirts-3-Pack/2679295","https://i5.walmartimages.com/seo/Hanes-Men-s-White-Tank-Undershirts-3-Pack_0174dabe-371c-42d7-b386-b365fc11757b.1c53ab4157776fdaeb0d7486d6fd3980.jpeg","10.98","M","White","Hanes Men's Classic V-Neck T-Shirt 100% Cotton 6 Packs - White-6pack 2X-Large","https://www.amazon.com/dp/B078Y9N3P6","https://m.media-amazon.com/images/I/316JfiBQ1kL.jpg;https://m.media-amazon.com/images/I/21X51CnUbUL.jpg;https://m.media-amazon.com/images/I/21wY65rVksL.jpg;https://m.media-amazon.com/images/I/21U8E45ywfL.jpg;https://m.media-amazon.com/images/I/21cK2taQIjL.jpg","Clothing, Shoes & Jewelry","Hanes","XX-Large","White","B078Y9N3P6","6","39.03","40.06"
"Hanes Men's White Tank Undershirts, 3 Pack","https://www.walmart.com/ip/Hanes-Men-s-White-Tank-Undershirts-3-Pack/2679295","https://i5.walmartimages.com/seo/Hanes-Men-s-White-Tank-Undershirts-3-Pack_0174dabe-371c-42d7-b386-b365fc11757b.1c53ab4157776fdaeb0d7486d6fd3980.jpeg","10.98","M","White","Hanes Men's Beefy-T Tall T 2PK_Navy_XXX-Large Tall","https://www.amazon.com/dp/B06ZYQQL7D","https://m.media-amazon.com/images/I/513+bcRKW9L.jpg;https://m.media-amazon.com/images/I/61T6u4eOxRL.jpg;https://m.media-amazon.com/images/I/51f7futWwvL.jpg;https://m.media-amazon.com/images/I/61Boe4s3pVL.jpg;https://m.media-amazon.com/images/I/51NjPLSaTjL.jpg;https://m.media-amazon.com/images/I/61gaK4HU41L.jpg","Clothing, Shoes & Jewelry","Hanes","3X-Large Tall","Navy","B06ZYQQL7D","0","30.72","29.96"
"Hanes Men's White Tank Undershirts, 3 Pack","https://www.walmart.com/ip/Hanes-Men-s-White-Tank-Undershirts-3-Pack/2679295","https://i5.walmartimages.com/seo/Hanes-Men-s-White-Tank-Undershirts-3-Pack_0174dabe-371c-42d7-b386-b365fc11757b.1c53ab4157776fdaeb0d7486d6fd3980.jpeg","10.98","M","White","Hanes Men's Beefy-T Tall T 2PK_Deep Royal_XXX-Large Tall","https://www.amazon.com/dp/B06ZYG5WG1","https://m.media-amazon.com/images/I/510QiF43kfL.jpg;https://m.media-amazon.com/images/I/617mnqteJrL.jpg;https://m.media-amazon.com/images/I/61Sl2QKVdDL.jpg;https://m.media-amazon.com/images/I/61Lf+85SgsL.jpg;https://m.media-amazon.com/images/I/51Svmkz4pML.jpg;https://m.media-amazon.com/images/I/61yIiVd7HhL.jpg","Clothing, Shoes & Jewelry","Hanes","3X-Large Tall","Deep Royal","B06ZYG5WG1","0","35.38","29.3"
"Hanes Men's White Tank Undershirts, 3 Pack","https://www.walmart.com/ip/Hanes-Men-s-White-Tank-Undershirts-3-Pack/2679295","https://i5.walmartimages.com/seo/Hanes-Men-s-White-Tank-Undershirts-3-Pack_0174dabe-371c-42d7-b386-b365fc11757b.1c53ab4157776fdaeb0d7486d6fd3980.jpeg","10.98","M","White","Hanes 9.7 oz. Ultimate Cotton 90/10 Full-Zip Hood, Large, ASH","https://www.amazon.com/dp/B014WBH7LM","https://m.media-amazon.com/images/I/41bcR44W0RL.jpg;https://m.media-amazon.com/images/I/41bcR44W0RL.jpg","Clothing, Shoes & Jewelry","Hanes","Large","Ash","B014WBH7LM","0","33.35","32.87"
"Hanes Men's White Tank Undershirts, 3 Pack","https://www.walmart.com/ip/Hanes-Men-s-White-Tank-Undershirts-3-Pack/2679295","https://i5.walmartimages.com/seo/Hanes-Men-s-White-Tank-Undershirts-3-Pack_0174dabe-371c-42d7-b386-b365fc11757b.1c53ab4157776fdaeb0d7486d6fd3980.jpeg","10.98","M","White","Hanes Adult Ultimate Cotton Hooded Pullover Fleece, Deep Royal, Medium","https://www.amazon.com/dp/B014WDR6IY","https://m.media-amazon.com/images/I/61XZvrJq+0L.jpg","Clothing, Shoes & Jewelry","Hanes","Medium","Deep Royal Blue","B014WDR6IY","0","30.89","29.28"
